name,slug,brand,sku,price,comparePrice,discountedPrice,currency,inStock,inventoryStatus,quantity,availableForPreOrder,ribbon,productType,weight,url
My Hero Academia CCG - Heroes Clash Endeavor Deluxe Starter Deck,my-hero-academia-ccg-heroes-clash-endeavor-deluxe-starter-deck,,,22.99,17.99,17.99,USD,true,in_stock,1,false,,physical,0.025,https://www.pokene.com/product-page/my-hero-academia-ccg-heroes-clash-endeavor-deluxe-starter-deck
Pokemon Crown Zenith Collection - Regidrago V,pokemon-crown-zenith-collection-regidrago-v,Pokemon,,130,0,130,USD,true,in_stock,3,false,,physical,1,https://www.pokene.com/product-page/pokemon-crown-zenith-collection-regidrago-v
Japanese Pokemon Mask of Change Booster Box,pokemon-mask-of-change-booster-box-sv6,Pokemon,MASKBOX,128.5,0,128.5,USD,true,in_stock,12,false,,physical,1,https://www.pokene.com/product-page/pokemon-mask-of-change-booster-box-sv6
Pokemon Victini ex Battle Deck,pokemon-victini-ex-or-miraidon-ex-battle-deck,,,17.9,0,17.9,USD,true,in_stock,1,false,,physical,0,https://www.pokene.com/product-page/pokemon-victini-ex-or-miraidon-ex-battle-deck
Pokemon Chaos Rising Sleeved Booster Pack,05-22-pokemon-chaos-rising-sleeved-booster-pack,Pokemon,,8.9,5.9,5.9,USD,true,in_stock,678,false,,physical,1,https://www.pokene.com/product-page/05-22-pokemon-chaos-rising-sleeved-booster-pack
Pokemon Temporal Forces Booster Box,pokemon-temporal-forces-booster-box,Pokemon,,350,0,350,USD,true,in_stock,6,false,,physical,0,https://www.pokene.com/product-page/pokemon-temporal-forces-booster-box
Pokemon Center Elite Trainer Box (Exclusive) - White Flare,white-flare-pokemon-center-elite-trainer-box-exclusive,Pokemon,,260,0,260,USD,true,in_stock,3,false,,physical,2,https://www.pokene.com/product-page/white-flare-pokemon-center-elite-trainer-box-exclusive
Pokemon Paradox Rift Booster Box,pokemon-paradox-rift-booster-box-sv04,Pokemon,,280,0,280,USD,true,in_stock,17,false,,physical,2,https://www.pokene.com/product-page/pokemon-paradox-rift-booster-box-sv04
Pokemon Center Elite Trainer Box - Journey Together,pokemon-center-elite-trainer-box-exclusive-journey-together,,,218,196.2,196.2,USD,true,in_stock,9,false,,physical,0,https://www.pokene.com/product-page/pokemon-center-elite-trainer-box-exclusive-journey-together
Pokemon League Battle Deck - Shadow Rider Calyrex,pokemon-league-battle-deck-shadow-rider-calyrex-vmax,Pokemon,PKMN-LEAGUEBATTLEDECK-SHADOWRIDER ,26.99,24.29,24.29,USD,true,in_stock,3,false,,physical,1,https://www.pokene.com/product-page/pokemon-league-battle-deck-shadow-rider-calyrex-vmax
Korean Pokemon Mega Dream Booster Box (Ascended Heroes),korean-pokemon-mega-dream-booster-box-aka-ascended-heroes,Pokemon,KR-MEGADREAM-BOX,89.95,74.9,74.9,USD,false,in_stock,0,false,,physical,1,https://www.pokene.com/product-page/korean-pokemon-mega-dream-booster-box-aka-ascended-heroes
Barboach to the Moon Tee - All Profits to WWF,barboach-to-the-moon-tee-all-profits-to-wwf,,,25.69,0,25.69,USD,true,in_stock,0,false,,physical,0,https://www.pokene.com/product-page/barboach-to-the-moon-tee-all-profits-to-wwf
Pokemon Mega Evolution ENHANCED Booster Box,pokemon-mega-evolution-booster-box-me1-pre-order-09-26,Pokemon,MEGABOX,325,0,325,USD,true,in_stock,1,false,,physical,2.2,https://www.pokene.com/product-page/pokemon-mega-evolution-booster-box-me1-pre-order-09-26
Pokemon Chaos Rising Booster Bundle,05-22-pokemon-chaos-rising-booster-bundle,Pokemon,,51.9,34.9,34.9,USD,true,in_stock,162,false,,physical,1,https://www.pokene.com/product-page/05-22-pokemon-chaos-rising-booster-bundle
Pokemon White Flare Booster Bundle Display,pokemon-white-flare-booster-bundle-display,Pokemon,,1400,0,1400,USD,true,in_stock,1,false,,physical,2,https://www.pokene.com/product-page/pokemon-white-flare-booster-bundle-display
Union Arena Hunter × Hunter Booster Pack [JP],union-arena-hunter-hunter-booster-pack-jp,,HUNTERXHUNTER-PACK,4.2,3.78,3.78,USD,true,in_stock,1,false,,physical,1.1,https://www.pokene.com/product-page/union-arena-hunter-hunter-booster-pack-jp
Chinese Pokemon Terastal Grand Gathering Quicksand Keychain Gift Box,06-22-chinese-pokemon-quicksand-card-display-charm-gift-boxes-terastal-grand,Pokemon,,44.9,34.9,34.9,USD,true,in_stock,128,false,,physical,0.05,https://www.pokene.com/product-page/06-22-chinese-pokemon-quicksand-card-display-charm-gift-boxes-terastal-grand
Pokemon Sylveon V Tin (International Version),pokemon-sylveon-v-tin-international-version-1,Pokemon,,80,0,80,USD,false,in_stock,0,false,,physical,1,https://www.pokene.com/product-page/pokemon-sylveon-v-tin-international-version-1
Pokemon: Greninja ex Battle Deck,pokemon-greninja-ex-battle-deck,Pokemon,PKMN-GRENINJA-EXBATTLEDECK ,16.99,15.29,15.29,USD,true,in_stock,1,false,,physical,1,https://www.pokene.com/product-page/pokemon-greninja-ex-battle-deck
Pokemon 2023 World Championship Deck - Shao Tong Yen,pokemon-2023-world-championship-deck-shao-tong-yen,Pokemon,,18.9,0,18.9,USD,false,in_stock,0,false,,physical,5,https://www.pokene.com/product-page/pokemon-2023-world-championship-deck-shao-tong-yen
"(X10) 100ct PENNY SLEEVES® 2.5"" x 3.5"" Soft Trading Card Protectors",x10-100ct-penny-sleeves-2-5-x-3-5-soft-trading-card-protectors,Ultra Pro,,39.99,8.9,8.9,USD,true,in_stock,25,false,,physical,0.5,https://www.pokene.com/product-page/x10-100ct-penny-sleeves-2-5-x-3-5-soft-trading-card-protectors
Japanese Pokemon Ninja Spinner Booster Box,pokemon-ninja-spinner-japanese-booster-box,Pokemon,PKMN-NINJA-BOX,102.5,100.45,100.45,USD,true,in_stock,45,false,,physical,2,https://www.pokene.com/product-page/pokemon-ninja-spinner-japanese-booster-box
Pokemon Flareon V Tin (International Version),pokemon-flareon-v-tin-international-version,Pokemon,,80,0,80,USD,false,in_stock,0,false,,physical,1,https://www.pokene.com/product-page/pokemon-flareon-v-tin-international-version
Chinese Pokemon 30th Anniversary Partner Set Volume 2,07-07-chinese-pokemon-30th-anniversary-partner-set-volume-2,Pokemon,,24,16.92,16.92,USD,true,in_stock,136,false,,physical,0.05,https://www.pokene.com/product-page/07-07-chinese-pokemon-30th-anniversary-partner-set-volume-2
Weiss Schwarz Hatsune Miku Colorful Stage More More Jump Trial Deck,weiss-schwarz-hatsune-miku-colorful-stage-more-more-jump-trial-deck,Weiss Schwarz,MORE-JUMP-DECK,18,16.99,16.99,USD,true,in_stock,30,false,,physical,1,https://www.pokene.com/product-page/weiss-schwarz-hatsune-miku-colorful-stage-more-more-jump-trial-deck
Pokemon Obsidian Flames Elite Trainer Box,pokemon-obsidian-flames-elite-trainer-box,Pokemon,PKMN-ETB-OBSID,325,295,295,USD,true,in_stock,3,false,,physical,1.7,https://www.pokene.com/product-page/pokemon-obsidian-flames-elite-trainer-box
Pokemon 151 Booster Pack (English),pokemon-151-booster-pack-english,Pokemon,151-PACK,29.9,0,29.9,USD,true,in_stock,36,false,,physical,0.04,https://www.pokene.com/product-page/pokemon-151-booster-pack-english
Pokemon League Battle Deck - Mega Lucario ex,pokemon-league-battle-deck-mega-lucario-ex,Pokemon,,29.99,15,15,USD,true,in_stock,147,false,,physical,1,https://www.pokene.com/product-page/pokemon-league-battle-deck-mega-lucario-ex
Dragon Ball Super - Fusion World Starter Deck -  FS02 Vegeta,dragon-ball-super-fusion-world-starter-deck-fs02-vegeta,,,16.44,11.94,11.94,USD,true,in_stock,6,false,,physical,1.1,https://www.pokene.com/product-page/dragon-ball-super-fusion-world-starter-deck-fs02-vegeta
Pokemon Japanese Steven's Beldum and Metagross ex,pokemon-japanese-steven-s-beldum-and-metagross-ex,Pokemon,JP-STEVENDECK,39.99,29.99,29.99,USD,true,in_stock,3,false,,physical,0.89,https://www.pokene.com/product-page/pokemon-japanese-steven-s-beldum-and-metagross-ex
My Hero Academia CCG - Heroes Clash DLC Pack,my-hero-academia-ccg-heroes-clash-dlc-pack,,MHA-DLC-PACK,29.99,19.99,19.99,USD,true,in_stock,10,false,,physical,0.025,https://www.pokene.com/product-page/my-hero-academia-ccg-heroes-clash-dlc-pack
Weiss Schwarz Hatsune Miku Colorful Stage Nightcord at 25:00 Trial Dec,weiss-schwarz-hatsune-miku-colorful-stage-nightcord-at-25-00-trial-dec,Weiss Schwarz,NIGHTCORD-DECK,18,16.99,16.99,USD,true,in_stock,29,false,,physical,1,https://www.pokene.com/product-page/weiss-schwarz-hatsune-miku-colorful-stage-nightcord-at-25-00-trial-dec
Pokemon Perfect Order Build and Battle Box,pokemon-tcg-mega-evolutions-me3-perfect-order-build-and-battle-box,Pokemon,PKMN-BUILD&BATTLE-PERFECTORDER ,34,0,34,USD,true,in_stock,6,false,,physical,1,https://www.pokene.com/product-page/pokemon-tcg-mega-evolutions-me3-perfect-order-build-and-battle-box
Pokemon Grafaiai ex Box,pokemon-grafaiai-ex-box,Pokemon,,50,0,50,USD,true,in_stock,3,false,,physical,0,https://www.pokene.com/product-page/pokemon-grafaiai-ex-box
Pokemon Sword and Shield Elite Trainer Box - Zacian,pokemon-sword-and-shield-elite-trainer-box-zacian,Pokemon,,175,0,175,USD,true,in_stock,1,false,,physical,2,https://www.pokene.com/product-page/pokemon-sword-and-shield-elite-trainer-box-zacian
Japanese Pokemon Violet EX Booster Box,pokemon-violet-ex-booster-box-sv1v,,VIOLET-EX-BOX,124,0,124,USD,true,in_stock,48,false,,physical,0.89,https://www.pokene.com/product-page/pokemon-violet-ex-booster-box-sv1v
Pokemon: Knock Out Collection (Chien-Pao),pokemon-knock-out-collection-chien-pao,Pokemon,PKMN-KNOCKOUT-CHIENPAO,22,0,22,USD,true,in_stock,12,false,,physical,0.5,https://www.pokene.com/product-page/pokemon-knock-out-collection-chien-pao
Chinese Pokemon Terastal Gathering Coin Set - Espeon,chinese-pokemon-terastal-gathering-coin-set-espeon,Pokemon,,14.99,12.9,12.9,USD,true,in_stock,107,false,,physical,0.05,https://www.pokene.com/product-page/chinese-pokemon-terastal-gathering-coin-set-espeon
Spanish Pokemon Ascenso Heroico (Ascended Heroes) Booster Bundle,spanish-pokemon-ascenso-heroico-ascended-heroes-booster-bundle,Pokemon,,49.9,0,49.9,USD,true,in_stock,112,false,,physical,1.7,https://www.pokene.com/product-page/spanish-pokemon-ascenso-heroico-ascended-heroes-booster-bundle
Pokemon Center Elite Trainer Box (Exclusive) - Stellar Crown,pokemon-stellar-crown-pokemon-center-elite-trainer-box-exclusive,Pokemon,,185,184.95,184.95,USD,false,in_stock,0,false,,physical,2,https://www.pokene.com/product-page/pokemon-stellar-crown-pokemon-center-elite-trainer-box-exclusive
Chinese Pokemon Gem Pack Badge Set Box,pokemon-gem-pack-badge-set-s-chinese,Pokemon,PKMN-GEMPACK-BADGE12SET,185,174.9,174.9,USD,true,in_stock,6,false,,physical,2.5,https://www.pokene.com/product-page/pokemon-gem-pack-badge-set-s-chinese
Black Non-Glare 100 Matte Dragon Shield Sleeves Standard Size,black-non-glare-100-matte-dragon-shield-sleeves-standard-size,Ultra Pro,,80,0,80,USD,true,in_stock,19,false,,physical,0.5,https://www.pokene.com/product-page/black-non-glare-100-matte-dragon-shield-sleeves-standard-size
Chinese Pokemon Terastal Gathering Accessory Box - Flareon,chinese-pokemon-terastal-gathering-collectors-accessory-box-flareon,Pokemon,,26.9,0,26.9,USD,true,in_stock,52,false,,physical,0.05,https://www.pokene.com/product-page/chinese-pokemon-terastal-gathering-collectors-accessory-box-flareon
Pokemon Surging Sparks Build and Batlle Box,pokemon-surging-sparks-build-and-batlle-box,,,65,0,65,USD,true,in_stock,9,false,,physical,0.5,https://www.pokene.com/product-page/pokemon-surging-sparks-build-and-batlle-box
My Hero Academia - Girl Power Booster Display UniVersus,my-hero-academia-girl-power-booster-display-universus,My Hero Academia,MHA-GIRL,69.99,59.99,59.99,USD,true,in_stock,10,false,,physical,2,https://www.pokene.com/product-page/my-hero-academia-girl-power-booster-display-universus
Pokemon Scarlet and Violet Blister (Espathra),pokemon-scarlet-and-violet-espathra-checklane-blister,Pokemon,PKMN-ESPATHRA-CHECKLANE,14.98,13.9,13.9,USD,true,in_stock,17,false,,physical,0.07,https://www.pokene.com/product-page/pokemon-scarlet-and-violet-espathra-checklane-blister
Pokemon Pitch Black Booster Bundle,pitch-black-booster-bundle,Pokemon,,44.9,36.9,36.9,USD,false,in_stock,0,false,,physical,2,https://www.pokene.com/product-page/pitch-black-booster-bundle
PokeNE Embroidered Champion Hoodie,pokene-embroidered-champion-hoodie,,,49.99,0,49.99,USD,true,in_stock,0,false,,physical,0,https://www.pokene.com/product-page/pokene-embroidered-champion-hoodie
X10 Emerald Matte Dragon Shield Sleeves Standard Size (100 ct),x10-emerald-matte-dragon-shield-sleeves-standard-size-100-ct,Ultra Pro,,80,0,80,USD,true,in_stock,4,false,,physical,0.5,https://www.pokene.com/product-page/x10-emerald-matte-dragon-shield-sleeves-standard-size-100-ct
Spanish Pokemon Stellar Crown (Corona Astral) Sleeved Pack,spanish-pokemon-stellar-crown-corona-astral-sleeved-pack,Pokemon,,4.99,4.49,4.49,USD,true,in_stock,1303,false,,physical,1.7,https://www.pokene.com/product-page/spanish-pokemon-stellar-crown-corona-astral-sleeved-pack
Pokemon Celestial Storm Elite Trainer Box with Acrylic,pokemon-celestial-storm-elite-trainer-box,Pokemon,,2100,0,2100,USD,true,in_stock,1,false,,physical,2,https://www.pokene.com/product-page/pokemon-celestial-storm-elite-trainer-box
